Time(s),CH1(V)
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.171860E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.606232E-02
1.1596E+01,2.606232E-02
